displayName,position,pred_safety_tackle_prob
Keanu Neal,FS,0.13080287
Eric Rowe,SS,0.13254118
Adrian Phillips,SS,0.133924231
Jaquan Brisker,SS,0.134222105
Rudy Ford,SS,0.134652063
Juan Thornhill,FS,0.134774134
Donovan Wilson,SS,0.135721982
Rodney McLeod,FS,0.136157766
Darnell Savage,SS,0.136750579
Kevin Byard,FS,0.137235641
Juston Burris,SS,0.13873215
Quandre Diggs,FS,0.138882175
Juston Burris,SS,0.140158772
Terrell Burgess,FS,0.140627041
Justin Reid,SS,0.141355276
Chauncey Gardner-Johnson,SS,0.141804785
Chuck Clark,SS,0.142016381
Juston Burris,SS,0.142028615
John Johnson,FS,0.142595977
Chuck Clark,SS,0.143079162
Malik Hooker,FS,0.143296003
Jayron Kearse,FS,0.143589363
Taylor Rapp,FS,0.143589452
Lamarcus Joyner,SS,0.143780604
Marcus Maye,FS,0.14477922
Kamren Curl,SS,0.14483057
Budda Baker,SS,0.14556855
Eric Rowe,SS,0.146585807
Darnell Savage,SS,0.146618456
Juan Thornhill,FS,0.14666231
Marcus Maye,FS,0.146756753
Mike Edwards,FS,0.146816507
Eric Rowe,SS,0.146956548
Jalen Thompson,FS,0.147172317
Kamren Curl,SS,0.147216827
Eric Rowe,SS,0.147526756
Vonn Bell,SS,0.147623226
Juan Thornhill,FS,0.147861227
Rodney Thomas,FS,0.148112208
Talanoa Hufanga,SS,0.1487955
Keanu Neal,FS,0.149520755
Jordan Poyer,SS,0.150055602
DeShon Elliott,FS,0.150150508
Jalen Thompson,FS,0.152015239
Kyle Dugger,FS,0.152110696
DeShon Elliott,FS,0.152353525
Eric Rowe,SS,0.152447343
Keanu Neal,FS,0.152616337
Eddie Jackson,SS,0.15292491
Kamren Curl,SS,0.153767571
Kamren Curl,SS,0.153860912
Justin Reid,SS,0.154220253
Eddie Jackson,SS,0.154371321
Budda Baker,SS,0.154446572
Darnell Savage,SS,0.154773921
Juan Thornhill,FS,0.155046836
DeShon Elliott,FS,0.156257138
Eric Rowe,SS,0.156447425
Marcus Epps,SS,0.156757236
Keanu Neal,FS,0.156791866
Talanoa Hufanga,SS,0.156900361
Jessie Bates,FS,0.157036036
Eric Rowe,SS,0.157193944
DeShon Elliott,FS,0.157464743
Eric Rowe,SS,0.157583341
Dane Belton,FS,0.15762727
Grant Delpit,SS,0.158028245
Rudy Ford,SS,0.158773482
Mike Edwards,FS,0.159371346
Donovan Wilson,SS,0.159409508
Chauncey Gardner-Johnson,SS,0.159812152
Donovan Wilson,SS,0.16081059
Adrian Amos,FS,0.160981581
Chuck Clark,SS,0.161262214
Rudy Ford,SS,0.161722571
Marcus Maye,FS,0.161861584
Donovan Wilson,SS,0.162224814
Rudy Ford,SS,0.162413672
Derwin James,FS,0.162805825
Donovan Wilson,SS,0.163102582
Darrick Forrest,SS,0.16326572
Geno Stone,SS,0.163435966
Marcus Maye,FS,0.16362296
Juan Thornhill,FS,0.164248124
John Johnson,FS,0.16486229
Malik Hooker,FS,0.165153012
Jonathan Owens,FS,0.165726855
Vonn Bell,SS,0.166226551
Kevin Byard,FS,0.166372657
Justin Reid,SS,0.166977897
Malik Hooker,FS,0.167257488
Jaquan Brisker,SS,0.167653009
Keanu Neal,FS,0.167695552
Eddie Jackson,SS,0.168095529
Amani Hooker,FS,0.168709069
Eric Rowe,SS,0.170045838
Tyrann Mathieu,FS,0.170081258
Jaquan Brisker,SS,0.170098498
Quandre Diggs,FS,0.170139655
Chuck Clark,SS,0.170243248
Keanu Neal,FS,0.170805544
Kamren Curl,SS,0.171013728
Kamren Curl,SS,0.171203539
Derwin James,FS,0.171230823
Donovan Wilson,SS,0.171234861
Devin McCourty,FS,0.171283007
Malik Hooker,FS,0.171426505
Jayron Kearse,FS,0.172034547
Jalen Thompson,FS,0.172153205
Rodney Thomas,FS,0.172194764
Darnell Savage,SS,0.172387302
Juan Thornhill,FS,0.172388196
Jonathan Owens,FS,0.172417238
Darnell Savage,SS,0.172581166
Rudy Ford,SS,0.172866449
Kareem Jackson,SS,0.172973007
Derwin James,FS,0.173207417
Malik Hooker,FS,0.173891217
Kevin Byard,FS,0.174148574
Justin Evans,SS,0.174620673
Lamarcus Joyner,SS,0.174939081
Kamren Curl,SS,0.175657704
Derwin James,FS,0.17614755
Darrick Forrest,SS,0.176223636
Tracy Walker,FS,0.177229792
Adrian Phillips,SS,0.177289531
Darrick Forrest,SS,0.178150266
Quandre Diggs,FS,0.178206488
Kamren Curl,SS,0.178365842
Malik Hooker,FS,0.178391099
Donovan Wilson,SS,0.178395241
Kevin Byard,FS,0.178450733
Darnell Savage,SS,0.178456917
Jonathan Owens,FS,0.178710625
Rodney Thomas,FS,0.178997591
Malik Hooker,FS,0.179170102
Rudy Ford,SS,0.179445311
John Johnson,FS,0.180811718
Donovan Wilson,SS,0.181184411
Jonathan Owens,FS,0.181319818
Jaquan Brisker,SS,0.18144457
Donovan Wilson,SS,0.18144618
Geno Stone,SS,0.182057485
Ronnie Harrison,SS,0.182167321
Amani Hooker,FS,0.182457
Jonathan Owens,FS,0.182670608
DeShon Elliott,FS,0.182694584
Lamarcus Joyner,SS,0.182775721
Rodney Thomas,FS,0.183652356
Jaylinn Hawkins,FS,0.183877423
Kamren Curl,SS,0.183924392
Jordan Poyer,SS,0.184005797
Jordan Poyer,SS,0.184409842
Rodney Thomas,FS,0.18463172
Kamren Curl,SS,0.184659168
Adrian Phillips,SS,0.184793875
Johnathan Abram,SS,0.184915796
Tashaun Gipson,FS,0.185312033
Nasir Adderley,FS,0.18571867
John Johnson,FS,0.185822338
Jaquan Brisker,SS,0.18599166
Malik Hooker,FS,0.186204717
Juston Burris,SS,0.187154993
Eddie Jackson,SS,0.18766962
Lamarcus Joyner,SS,0.187886193
Darnell Savage,SS,0.18859832
Juston Burris,SS,0.188642994
Jaquan Brisker,SS,0.18875663
Eric Rowe,SS,0.188958272
Rodney McLeod,FS,0.189317599
Geno Stone,SS,0.189501941
Derwin James,FS,0.18967697
Grant Delpit,SS,0.189723596
Camryn Bynum,FS,0.189859107
Adrian Phillips,SS,0.189949498
Jayron Kearse,FS,0.190172091
Adrian Phillips,SS,0.190945894
Juju Hughes,FS,0.19128488
Kevin Byard,FS,0.191767693
Quandre Diggs,FS,0.192047417
DeShon Elliott,FS,0.192130759
Eric Rowe,SS,0.19236283
Jaquan Brisker,SS,0.192386299
Bobby McCain,FS,0.192415178
Jabrill Peppers,SS,0.192706153
Rudy Ford,SS,0.193104118
Jayron Kearse,FS,0.193442792
Marcus Maye,FS,0.193482205
Donovan Wilson,SS,0.193672225
John Johnson,FS,0.193979606
Rodney Thomas,FS,0.193986461
Juan Thornhill,FS,0.194047213
Kyle Dugger,FS,0.194240123
Taylor Rapp,FS,0.194346562
Chuck Clark,SS,0.194744855
DeShon Elliott,FS,0.194889411
Terrell Burgess,FS,0.195270106
Jaylinn Hawkins,FS,0.195952281
Keanu Neal,FS,0.196161121
Jaylinn Hawkins,FS,0.196596399
Eric Rowe,SS,0.19660072
Juju Hughes,FS,0.196681604
Johnathan Abram,SS,0.196941614
Jaquan Brisker,SS,0.197488382
Marcus Maye,FS,0.197910264
Richie Grant,SS,0.198237717
Juston Burris,SS,0.198552713
Jaquan Brisker,SS,0.1987001
Darnell Savage,SS,0.198711887
Vonn Bell,SS,0.19903259
Donovan Wilson,SS,0.199539065
Donovan Wilson,SS,0.199682847
Jaquan Brisker,SS,0.199687526
Justin Evans,SS,0.200218379
Donovan Wilson,SS,0.200617403
Derwin James,FS,0.200667873
DeShon Elliott,FS,0.200896069
John Johnson,FS,0.200909644
Jonathan Owens,FS,0.201130316
Kyle Dugger,FS,0.20115982
Mike Edwards,FS,0.201232404
Lamarcus Joyner,SS,0.20143865
Malik Hooker,FS,0.201442748
Keanu Neal,FS,0.201509833
Jeremy Chinn,FS,0.201620698
Lamarcus Joyner,SS,0.201912627
Budda Baker,SS,0.202310294
Quandre Diggs,FS,0.202376619
Derwin James,FS,0.202511579
Jonathan Owens,FS,0.203175232
Dane Belton,FS,0.203642502
Ronnie Harrison,SS,0.203687325
Derwin James,FS,0.203792617
Chuck Clark,SS,0.203800738
Justin Simmons,FS,0.204186916
Donovan Wilson,SS,0.204297245
John Johnson,FS,0.204971388
Justin Evans,SS,0.205442965
Rodney Thomas,FS,0.205772638
Darnell Savage,SS,0.205960378
Rudy Ford,SS,0.206150249
Jaquan Brisker,SS,0.206401572
Donovan Wilson,SS,0.20721224
Eric Rowe,SS,0.207320958
Keanu Neal,FS,0.207379758
Marcus Maye,FS,0.207579464
Donovan Wilson,SS,0.207710057
Jordan Poyer,SS,0.20777823
Eric Rowe,SS,0.207805216
Geno Stone,SS,0.208126202
Geno Stone,SS,0.208487868
Jaquan Brisker,SS,0.208638296
Geno Stone,SS,0.208854616
Jaquan Brisker,SS,0.208952487
Jonathan Owens,FS,0.20959644
Tyrann Mathieu,FS,0.209737808
Jonathan Owens,FS,0.209760889
Taylor Rapp,FS,0.209895253
Eric Rowe,SS,0.209903777
Rodney Thomas,FS,0.210441098
Geno Stone,SS,0.210591808
Chuck Clark,SS,0.210920423
Grant Delpit,SS,0.210967243
Marcus Maye,FS,0.210975096
Ronnie Harrison,SS,0.211085543
Jeremy Chinn,FS,0.211094365
John Johnson,FS,0.211265013
Xavier Woods,FS,0.211751789
Jordan Poyer,SS,0.211902544
Derwin James,FS,0.211993411
Derwin James,FS,0.212239832
Julian Love,SS,0.212259173
Jonathan Owens,FS,0.212349743
Quandre Diggs,FS,0.212368786
Julian Love,SS,0.212613121
Taylor Rapp,FS,0.212853819
Juan Thornhill,FS,0.212920889
Mike Edwards,FS,0.213502049
Rodney Thomas,FS,0.213519305
Rodney Thomas,FS,0.213590413
Derwin James,FS,0.213761315
Keanu Neal,FS,0.214011222
Jaquan Brisker,SS,0.214250416
Darnell Savage,SS,0.214573398
Rudy Ford,SS,0.214681998
Kareem Jackson,SS,0.214856595
Budda Baker,SS,0.215292901
Marcus Maye,FS,0.215570733
Juston Burris,SS,0.215675384
Rodney Thomas,FS,0.215732008
Darrick Forrest,SS,0.216051474
Jaylinn Hawkins,FS,0.216293424
Antoine Winfield,FS,0.216419846
Keanu Neal,FS,0.217108116
Kamren Curl,SS,0.217313752
Geno Stone,SS,0.217346355
Darrick Forrest,SS,0.217720345
Darnell Savage,SS,0.217734292
Talanoa Hufanga,SS,0.217890352
Bobby McCain,FS,0.218305066
Darrick Forrest,SS,0.218407512
Malik Hooker,FS,0.21882835
Derwin James,FS,0.219079107
Donovan Wilson,SS,0.219194844
John Johnson,FS,0.219639987
Jonathan Owens,FS,0.220091045
Taylor Rapp,FS,0.220094919
Jonathan Owens,FS,0.220676899
Mike Edwards,FS,0.220694855
Chauncey Gardner-Johnson,SS,0.221106559
Eddie Jackson,SS,0.221603051
John Johnson,FS,0.222369298
Keanu Neal,FS,0.222835869
Darnell Savage,SS,0.22287111
Eric Rowe,SS,0.222913265
Dane Belton,FS,0.223082915
Johnathan Abram,SS,0.223131642
Talanoa Hufanga,SS,0.223212317
Budda Baker,SS,0.223290592
Tyrann Mathieu,FS,0.223745778
Donovan Wilson,SS,0.223828882
Derwin James,FS,0.223940507
Derwin James,FS,0.224059656
John Johnson,FS,0.224192947
Quandre Diggs,FS,0.224292129
Adrian Phillips,SS,0.224319816
Nasir Adderley,FS,0.224571019
Quandre Diggs,FS,0.224679634
Rodney McLeod,FS,0.224803686
Kareem Jackson,SS,0.224847957
John Johnson,FS,0.224882111
Terrell Edmunds,SS,0.225055471
Amani Hooker,FS,0.225068763
Kareem Jackson,SS,0.22518234
Darnell Savage,SS,0.225533485
Kevin Byard,FS,0.225839123
Chuck Clark,SS,0.226078004
Adrian Phillips,SS,0.226154402
Johnathan Abram,SS,0.226411611
Grant Delpit,SS,0.226726174
Jayron Kearse,FS,0.226753607
Kyle Dugger,FS,0.227434635
Jonathan Owens,FS,0.227532297
Jaquan Brisker,SS,0.228242591
Eddie Jackson,SS,0.228288397
Adrian Phillips,SS,0.228313252
Geno Stone,SS,0.228313282
Antoine Winfield,FS,0.228422999
Jayron Kearse,FS,0.22856918
Eddie Jackson,SS,0.22857587
John Johnson,FS,0.228629291
Taylor Rapp,FS,0.229053676
Donovan Wilson,SS,0.229208708
Darrick Forrest,SS,0.229454324
Rudy Ford,SS,0.229536399
Jaquan Brisker,SS,0.229610547
DeShon Elliott,FS,0.230553001
John Johnson,FS,0.23060827
Jaquan Brisker,SS,0.230827317
Jalen Thompson,FS,0.230873108
Marcus Epps,SS,0.230943024
Eddie Jackson,SS,0.230972826
Andre Cisco,SS,0.230978891
Camryn Bynum,FS,0.231070504
Jonathan Owens,FS,0.231304184
Julian Love,SS,0.231349021
Kyle Dugger,FS,0.231396139
John Johnson,FS,0.231567413
Marcus Epps,SS,0.231622934
Geno Stone,SS,0.231683314
Derwin James,FS,0.231876269
Derwin James,FS,0.232126638
Kamren Curl,SS,0.23217009
Rodney Thomas,FS,0.232574016
Dane Belton,FS,0.232601047
Richie Grant,SS,0.233253881
Jonathan Owens,FS,0.233340561
Jonathan Owens,FS,0.23351796
Darnell Savage,SS,0.233533651
Richie Grant,SS,0.233840793
Johnathan Abram,SS,0.234410018
Josh Metellus,SS,0.234494731
Derwin James,FS,0.234966174
Rodney Thomas,FS,0.234992266
Israel Mukuamu,SS,0.235003024
Tracy Walker,FS,0.235049859
Rudy Ford,SS,0.235051334
Vonn Bell,SS,0.235642046
Johnathan Abram,SS,0.235871568
Richie Grant,SS,0.235971883
Kyle Dugger,FS,0.236030847
Derwin James,FS,0.236410961
Tashaun Gipson,FS,0.236419916
Jalen Thompson,FS,0.236525714
Logan Ryan,FS,0.236646309
Julian Love,SS,0.236673757
Chuck Clark,SS,0.236861899
Eric Rowe,SS,0.237171173
Donovan Wilson,SS,0.237203985
Chauncey Gardner-Johnson,SS,0.237250388
Quandre Diggs,FS,0.23726359
Rodney Thomas,FS,0.237435296
Jayron Kearse,FS,0.237483472
Antoine Winfield,FS,0.23750779
Jonathan Owens,FS,0.237673163
Malik Hooker,FS,0.237756267
Mike Edwards,FS,0.237790555
Marcus Maye,FS,0.237892032
Darnell Savage,SS,0.238023713
Lamarcus Joyner,SS,0.238742575
Rodney Thomas,FS,0.239069268
Jayron Kearse,FS,0.239176869
Marcus Maye,FS,0.239187881
Bobby McCain,FS,0.239484563
Kevin Byard,FS,0.239754856
Kamren Curl,SS,0.239774421
Kevin Byard,FS,0.240064651
Rudy Ford,SS,0.240194649
Kamren Curl,SS,0.240449667
Josh Jones,FS,0.240495995
Rodney McLeod,FS,0.240503654
Derwin James,FS,0.240597144
Rodney Thomas,FS,0.240750551
Geno Stone,SS,0.241230965
Eric Rowe,SS,0.241326839
Malik Hooker,FS,0.241447985
Rudy Ford,SS,0.241630539
Jayron Kearse,FS,0.241743281
Darrick Forrest,SS,0.241761506
Jaylinn Hawkins,FS,0.241814315
Rudy Ford,SS,0.242157251
Eric Rowe,SS,0.242183626
Derwin James,FS,0.242365405
Grant Delpit,SS,0.242382348
Darrick Forrest,SS,0.242534116
Vonn Bell,SS,0.242785275
Juston Burris,SS,0.242941737
Tyrann Mathieu,FS,0.243190244
Marcus Maye,FS,0.24320434
Xavier Woods,FS,0.243236378
Rudy Ford,SS,0.243450984
Jonathan Owens,FS,0.243910015
Keanu Neal,FS,0.244072735
Tyrann Mathieu,FS,0.244295239
John Johnson,FS,0.244305938
Malik Hooker,FS,0.244431451
Rudy Ford,SS,0.244539589
Nasir Adderley,FS,0.245063365
Jayron Kearse,FS,0.245089337
Josh Metellus,SS,0.245123088
Kyle Dugger,FS,0.245143428
Keanu Neal,FS,0.245638222
Chuck Clark,SS,0.245763212
Donovan Wilson,SS,0.246033534
Eddie Jackson,SS,0.246127725
Kevin Byard,FS,0.246137962
Eddie Jackson,SS,0.246242002
Eddie Jackson,SS,0.2463907
Darrick Forrest,SS,0.247086659
Juan Thornhill,FS,0.247283846
Richie Grant,SS,0.247318432
Darnell Savage,SS,0.247824743
Vonn Bell,SS,0.248230025
Donovan Wilson,SS,0.248244241
Donovan Wilson,SS,0.24830021
Jeremy Chinn,FS,0.248502895
Mike Edwards,FS,0.24857457
Vonn Bell,SS,0.248615697
Devin McCourty,FS,0.248688102
Darrick Forrest,SS,0.248705596
Jonathan Owens,FS,0.248852596
Johnathan Abram,SS,0.248987675
Geno Stone,SS,0.249026462
Jonathan Owens,FS,0.24906911
Marcus Maye,FS,0.249186307
Juan Thornhill,FS,0.2495666
Jalen Thompson,FS,0.249849707
Juston Burris,SS,0.249871552
Donovan Wilson,SS,0.249883294
Josh Jones,FS,0.249940321
Josh Jones,FS,0.249940321
Jaquan Brisker,SS,0.249945953
Tyrann Mathieu,FS,0.250181764
Geno Stone,SS,0.250250161
Kareem Jackson,SS,0.250317901
Keanu Neal,FS,0.250497758
Bobby McCain,FS,0.250724703
John Johnson,FS,0.250999957
Marcus Maye,FS,0.251115978
Richie Grant,SS,0.251634032
Darnell Savage,SS,0.251658559
Chuck Clark,SS,0.251795709
Justin Evans,SS,0.252221644
Dane Belton,FS,0.252284676
Darnell Savage,SS,0.252515912
Justin Reid,SS,0.252527177
Talanoa Hufanga,SS,0.252860039
DeShon Elliott,FS,0.252866417
Jaquan Brisker,SS,0.252914995
Jalen Pitre,FS,0.25361222
Marcus Williams,FS,0.253728449
Kamren Curl,SS,0.253744274
Rudy Ford,SS,0.253826469
Lamarcus Joyner,SS,0.253870249
Devin McCourty,FS,0.25417617
Eddie Jackson,SS,0.254216909
Darnell Savage,SS,0.254280448
Antoine Winfield,FS,0.254347682
Antoine Winfield,FS,0.254347682
Lamarcus Joyner,SS,0.254442066
Budda Baker,SS,0.254473031
Juan Thornhill,FS,0.254625857
Adrian Amos,FS,0.25467062
John Johnson,FS,0.254676133
Juston Burris,SS,0.254781693
Chuck Clark,SS,0.254825205
Richie Grant,SS,0.254842371
Rudy Ford,SS,0.25506115
Chuck Clark,SS,0.255156517
Kevin Byard,FS,0.255165368
Jonathan Owens,FS,0.255277485
Darnell Savage,SS,0.255382299
Eric Rowe,SS,0.255402803
Devin McCourty,FS,0.255438119
Jayron Kearse,FS,0.25546822
Grant Delpit,SS,0.255764633
Adrian Amos,FS,0.256247491
Jaquan Brisker,SS,0.256262511
Kareem Jackson,SS,0.256601065
Rayshawn Jenkins,SS,0.257057488
Keanu Neal,FS,0.257090509
Keanu Neal,FS,0.257454753
Darnell Savage,SS,0.257457495
Vonn Bell,SS,0.257578433
Vonn Bell,SS,0.25767535
Jonathan Owens,FS,0.257698148
Malik Hooker,FS,0.257700384
Johnathan Abram,SS,0.258069217
Jonathan Owens,FS,0.258241683
Kyle Dugger,FS,0.258370012
Geno Stone,SS,0.258569807
Jaquan Brisker,SS,0.258636266
Josh Jones,FS,0.258785725
Eddie Jackson,SS,0.258984983
Juan Thornhill,FS,0.25904879
Minkah Fitzpatrick,FS,0.259124637
Adrian Phillips,SS,0.259159416
Jevon Holland,FS,0.259224623
Rudy Ford,SS,0.259316623
Dax Hill,FS,0.259371579
Bobby McCain,FS,0.259399116
Kamren Curl,SS,0.259657115
Rodney Thomas,FS,0.259734303
Juan Thornhill,FS,0.259764999
John Johnson,FS,0.260154963
Juan Thornhill,FS,0.260173291
Darnell Savage,SS,0.260252893
Justin Reid,SS,0.260259479
Kyle Dugger,FS,0.260361701
Jaquan Brisker,SS,0.260485172
Terrell Edmunds,SS,0.260519356
Marcus Maye,FS,0.260692775
Malik Hooker,FS,0.261036187
Chauncey Gardner-Johnson,SS,0.261371523
Lamarcus Joyner,SS,0.261505455
Antoine Winfield,FS,0.261519223
Darnell Savage,SS,0.261595875
Rodney McLeod,FS,0.261974633
Darnell Savage,SS,0.262089491
Terrell Edmunds,SS,0.262105048
Geno Stone,SS,0.262357086
Darnell Savage,SS,0.26236096
Jordan Poyer,SS,0.262487322
Camryn Bynum,FS,0.262598813
Jayron Kearse,FS,0.262628317
Eddie Jackson,SS,0.262720257
Marcus Maye,FS,0.262730211
Kamren Curl,SS,0.262878507
Josh Metellus,SS,0.262923062
Amani Hooker,FS,0.26359871
Jaquan Brisker,SS,0.263632566
Jalen Pitre,FS,0.263719827
Derwin James,FS,0.263775289
Kyle Dugger,FS,0.264076293
Adrian Phillips,SS,0.264113188
Chauncey Gardner-Johnson,SS,0.264238954
Tyrann Mathieu,FS,0.26432842
Andrew Adams,SS,0.264379174
John Johnson,FS,0.264559418
DeShon Elliott,FS,0.264627516
Logan Ryan,FS,0.264696181
Taylor Rapp,FS,0.264868587
Rudy Ford,SS,0.265237153
Jessie Bates,FS,0.265277267
Jalen Thompson,FS,0.265568227
Kamren Curl,SS,0.265769303
Jonathan Owens,FS,0.265855819
Jaquan Brisker,SS,0.265869588
Eric Rowe,SS,0.266014934
Tyrann Mathieu,FS,0.266314536
Jonathan Owens,FS,0.266347319
Darnell Savage,SS,0.266370803
John Johnson,FS,0.266429693
Budda Baker,SS,0.266550094
Kareem Jackson,SS,0.267112643
Jonathan Owens,FS,0.267171979
Jonathan Owens,FS,0.267300755
Tyrann Mathieu,FS,0.267371476
Johnathan Abram,SS,0.267385572
Rayshawn Jenkins,SS,0.267660797
Kyle Dugger,FS,0.267814338
Eddie Jackson,SS,0.267921537
Jaylinn Hawkins,FS,0.268382937
Rudy Ford,SS,0.268655181
Rodney Thomas,FS,0.268724382
Justin Evans,SS,0.269017905
Quandre Diggs,FS,0.269038975
Rudy Ford,SS,0.269105852
Rudy Ford,SS,0.269228011
Geno Stone,SS,0.269402504
Jalen Pitre,FS,0.269446164
Tracy Walker,FS,0.269560128
DeShon Elliott,FS,0.269683868
Nasir Adderley,FS,0.26997605
Nick Cross,SS,0.270232439
Malik Hooker,FS,0.270471513
Jaquan Brisker,SS,0.270578861
Grant Delpit,SS,0.270685017
Jabrill Peppers,SS,0.27086395
Jaquan Brisker,SS,0.271028668
Bobby McCain,FS,0.271155298
Devin McCourty,FS,0.271633536
Justin Simmons,FS,0.271723002
Grant Delpit,SS,0.271798491
Tyrann Mathieu,FS,0.272099584
Marcus Maye,FS,0.272231162
Rudy Ford,SS,0.272351712
John Johnson,FS,0.272521913
Derwin James,FS,0.272539228
Mike Edwards,FS,0.27269581
Kamren Curl,SS,0.272859663
Derwin James,FS,0.2728692
Kevin Byard,FS,0.2728962
Grant Delpit,SS,0.272928804
Talanoa Hufanga,SS,0.27299422
Lamarcus Joyner,SS,0.273115546
Jaquan Brisker,SS,0.273182511
Devin McCourty,FS,0.273285896
Tyrann Mathieu,FS,0.273806244
Nasir Adderley,FS,0.273861855
Jonathan Owens,FS,0.273913145
Rudy Ford,SS,0.274100125
Derwin James,FS,0.274215668
John Johnson,FS,0.274343431
Harrison Smith,SS,0.274597943
Marcus Epps,SS,0.274736881
Antoine Winfield,FS,0.275014937
Donovan Wilson,SS,0.275047123
Darnell Savage,SS,0.275119662
Jalen Thompson,FS,0.27518931
Marcus Williams,FS,0.275513291
Justin Evans,SS,0.275560617
DeShon Elliott,FS,0.275574297
Eddie Jackson,SS,0.275708526
Jonathan Owens,FS,0.276114881
Talanoa Hufanga,SS,0.27655977
Antoine Winfield,FS,0.276589304
Terrell Edmunds,SS,0.27704075
Geno Stone,SS,0.277601659
Devin McCourty,FS,0.277817279
Darrick Forrest,SS,0.278106362
Marcus Maye,FS,0.278167158
Marcus Maye,FS,0.278193742
Malik Hooker,FS,0.278291047
Devin McCourty,FS,0.27832827
Jaquan Brisker,SS,0.278577328
Antoine Winfield,FS,0.278715789
Antoine Winfield,FS,0.278715789
Talanoa Hufanga,SS,0.278874636
Vonn Bell,SS,0.278962016
Nasir Adderley,FS,0.279069781
Darnell Savage,SS,0.27910763
Kareem Jackson,SS,0.279280245
Nasir Adderley,FS,0.279322267
Richie Grant,SS,0.279428124
Kareem Jackson,SS,0.279446483
Richie Grant,SS,0.279847652
Josh Jones,FS,0.27994594
Josh Jones,FS,0.27994594
Marcus Maye,FS,0.280060709
Chuck Clark,SS,0.280076861
Tracy Walker,FS,0.280152261
Jonathan Owens,FS,0.280163586
Donovan Wilson,SS,0.280203968
Chauncey Gardner-Johnson,SS,0.280531794
Johnathan Abram,SS,0.28061372
Devin McCourty,FS,0.280648947
Derwin James,FS,0.280679405
Juston Burris,SS,0.280999124
Jordan Poyer,SS,0.281008065
Derwin James,FS,0.281293899
Julian Love,SS,0.281390846
Marcus Epps,SS,0.28178975
DeShon Elliott,FS,0.281914651
Quandre Diggs,FS,0.282061368
